,country,region_1,variety,points_median,location,address,point,latitude,longitude,altitude
799,Italy,Torgiano,White Blend,91.5,"Torgiano, Italy","Torgiano, Perugia, Umbria, 06089, Italia","(43.028542, 12.44136, 0.0)",43.028542,12.44136,0.0
800,Italy,Torgiano Rosso Riserva,Red Blend,92.0,"Torgiano Rosso Riserva, Italy",,,,,
801,Italy,Toscana,White Blend,92.0,"Toscana, Italy","Toscana, Italia","(43.4586541, 11.1389204, 0.0)",43.4586541,11.1389204,0.0
802,Italy,Trebbiano d'Abruzzo,Trebbiano,86.0,"Trebbiano d'Abruzzo, Italy",,,,,
803,Italy,Trentino,White Blend,89.0,"Trentino, Italy","Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia","(46.102817, 11.129543099871789, 0.0)",46.102817,11.129543099871789,0.0
804,Italy,Trentino Superiore,Müller-Thurgau,88.0,"Trentino Superiore, Italy",,,,,
805,Italy,Trento,Sparkling Blend,91.5,"Trento, Italy","Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia","(46.0664228, 11.1257601, 0.0)",46.0664228,11.1257601,0.0
806,Italy,Tuscany,Red Blend,90.0,"Tuscany, Italy","Toscana, Italia","(43.4586541, 11.1389204, 0.0)",43.4586541,11.1389204,0.0
807,Italy,Umbria,White Blend,92.0,"Umbria, Italy","Umbria, Italia","(42.965916, 12.490236, 0.0)",42.965916,12.490236,0.0
808,Italy,Val di Cornia Suvereto,Vermentino,92.0,"Val di Cornia Suvereto, Italy","Via Val di Cornia, San Rocco, Suvereto, Livorno, Toscana, 57021, Italia","(43.0746244, 10.6767865, 0.0)",43.0746244,10.6767865,0.0
809,Italy,Val di Neto,White Blend,90.0,"Val di Neto, Italy","Ali Val di Neto, Strada Statale 106 Jonica, Bucchi, Crotone, Calabria, Italia","(39.184734649999996, 17.10703449565607, 0.0)",39.184734649999996,17.10703449565607,0.0
810,Italy,Valdadige,Pinot Grigio,88.0,"Valdadige, Italy","Cantina Valdadige, Via Don Cesare Scala, Pian di Festa, Brentino Belluno, Verona, Veneto, Italia","(45.659754, 10.8950331, 0.0)",45.659754,10.8950331,0.0
811,Italy,Valdobbiadene Prosecco Superiore,White Blend,90.0,"Valdobbiadene Prosecco Superiore, Italy",,,,,
812,Italy,Valdobbiadene Superiore di Cartizze,Glera,89.0,"Valdobbiadene Superiore di Cartizze, Italy",,,,,
813,Italy,Valle d'Aosta,Red Blend,90.0,"Valle d'Aosta, Italy","Valle d'Aosta/Vallée d'Aoste, Italia","(45.730099, 7.387426, 0.0)",45.730099,7.387426,0.0
814,Italy,Valli di Porto Pino,White Blend,89.0,"Valli di Porto Pino, Italy",,,,,
815,Italy,Valpolicella,Red Blend,87.0,"Valpolicella, Italy","Negrar di Valpolicella, Verona, Veneto, 37024, Italia","(45.5296706, 10.9400217, 0.0)",45.5296706,10.9400217,0.0
816,Italy,Valpolicella Classico,Red Blend,88.5,"Valpolicella Classico, Italy",,,,,
817,Italy,Valpolicella Classico Superiore,Red Blend,87.0,"Valpolicella Classico Superiore, Italy",,,,,
818,Italy,Valpolicella Classico Superiore Ripasso,Red Blend,88.0,"Valpolicella Classico Superiore Ripasso, Italy",,,,,
819,Italy,Valpolicella Ripasso,Red Blend,87.0,"Valpolicella Ripasso, Italy",,,,,
820,Italy,Valpolicella Ripasso Classico,Red Blend,89.0,"Valpolicella Ripasso Classico, Italy",,,,,
821,Italy,Valpolicella Ripasso Valpantena,"Corvina, Rondinella, Molinara",87.0,"Valpolicella Ripasso Valpantena, Italy",,,,,
822,Italy,Valpolicella Ripasso Valpantena Superiore,Red Blend,87.0,"Valpolicella Ripasso Valpantena Superiore, Italy",,,,,
823,Italy,Valpolicella Superiore,Red Blend,87.0,"Valpolicella Superiore, Italy",,,,,
824,Italy,Valpolicella Superiore Ripasso,Red Blend,88.0,"Valpolicella Superiore Ripasso, Italy",,,,,
825,Italy,Valpolicella Valpantena,"Corvina, Rondinella, Molinara",87.0,"Valpolicella Valpantena, Italy",,,,,
826,Italy,Valtellina,White Blend,87.5,"Valtellina, Italy","Valtellina, Arzuga, Grosio, Comunità Montana della Valtellina di Tirano, Sondrio, Lombardia, Italia","(46.32336235, 10.258413671017703, 0.0)",46.32336235,10.258413671017703,0.0
827,Italy,Valtellina Superiore,Red Blend,90.0,"Valtellina Superiore, Italy","Sentiero Valtellina, Posseggia, Teglio, Comunità Montana della Valtellina di Tirano, Sondrio, Lombardia, 23036, Italia","(46.158326, 10.0373383, 0.0)",46.158326,10.0373383,0.0
828,Italy,Valtènesi,Rosato,86.5,"Valtènesi, Italy","Via Valtenesi, Vicina, Desenzano del Garda, Brescia, Lombardia, 25150, Italia","(45.4882443, 10.5278778, 0.0)",45.4882443,10.5278778,0.0
829,Italy,Veneto,White Blend,90.0,"Veneto, Italy","Veneto, Italia","(45.6476663, 11.8665254, 0.0)",45.6476663,11.8665254,0.0
830,Italy,Veneto Orientale,Red Blend,92.0,"Veneto Orientale, Italy","CTVO Consorzio Taxi Veneto Orientale, Via don Guerrino Bertolin, Laguna Shopping, Jesolo, Venezia, Veneto, 30016, Italia","(45.508348, 12.6389608, 0.0)",45.508348,12.6389608,0.0
831,Italy,Venezia,Pinot Grigio,85.0,"Venezia, Italy","Venezia, Veneto, Italia","(45.4371908, 12.3345898, 0.0)",45.4371908,12.3345898,0.0
832,Italy,Venezia Giulia,White Blend,92.0,"Venezia Giulia, Italy","Venezia Giulia, Savena, Bologna, Emilia-Romagna, 40139, Italia","(44.4785765, 11.3815621, 0.0)",44.4785765,11.3815621,0.0
833,Italy,Venezie,White Blend,88.0,"Venezie, Italy","Istituto Zooprofilattico Sperimentale delle Venezie, Legnaro, Padova, Veneto, Italia","(45.34851865, 11.957179705362917, 0.0)",45.34851865,11.957179705362917,0.0
834,Italy,Verdicchio dei Castelli di Jesi,Verdicchio,87.0,"Verdicchio dei Castelli di Jesi, Italy",,,,,
835,Italy,Verdicchio dei Castelli di Jesi Classico,White Blend,90.0,"Verdicchio dei Castelli di Jesi Classico, Italy",,,,,
836,Italy,Verdicchio dei Castelli di Jesi Classico Superiore,White Blend,88.0,"Verdicchio dei Castelli di Jesi Classico Superiore, Italy",,,,,
837,Italy,Verdicchio di Matelica,Verdicchio,88.0,"Verdicchio di Matelica, Italy","Fettucciato G.F.Verdicchio, Matelica, Macerata, Marche, Italia","(43.2185295, 12.9872027, 0.0)",43.2185295,12.9872027,0.0
838,Italy,Vermentino di Gallura,Vermentino,89.5,"Vermentino di Gallura, Italy",,,,,
839,Italy,Vermentino di Sardegna,Vermentino,88.0,"Vermentino di Sardegna, Italy","Strada del Vermentino, Belchidda/Berchidda, Sassari, Sardegna, Italia","(40.7675184, 9.1595022, 0.0)",40.7675184,9.1595022,0.0
840,Italy,Vernaccia di San Gimignano,White Blend,89.0,"Vernaccia di San Gimignano, Italy",,,,,
841,Italy,Veronese,White Blend,93.0,"Veronese, Italy","Veronese, Via Lanzo, Barriera di Lanzo, Torino, Provincia di Torino, Piemonte, 10148, Italia","(45.1123339, 7.6597528, 0.0)",45.1123339,7.6597528,0.0
